ID,,,SITE,,,,,,,,,,TYPE_CHANGE,CROP AND LAND USE ,,,,,,,,,,,SOIL MANAGEMENT INFO,,,,,,,,,,DATA,,,,CURRENT SOC AND SOIL CHARACTERISTICS,,,,,,,,,,,,,,,,PREVIOUS SOC AND SOIL CHARACTERISTICS,,,,,,,,,,,,,,,SOURCE,
ID,IDstudy,plotID,country,region,temperature_Celsiul,precipitation_mm,climate,Latitud,Longitud,bedrock,soil_type,USDA,TYPE_CHANGE,CROP_current,CROP_type,cropAGE,current_land_use*,LUC_this_study,previous_land_use*,years_since_luc,TEMPORAL_only_this study,timeTEMPORAL,CHANGE_management,year_since_MANAGEMENT_CHANGE,soil_treatments,tillageYESNO,tillage_type,fertilizerYESNO,fet_type,rate_fertilizer_kh_ha,pesticides,org_amendYESNO,org_amend_type,prev_man,SINGLE_DATA-MULTIPLE_SINGLEAMPLING,DIF_DEPTH_current_point,CONTI_DEPTH,NUM_DEPTH,year_measure,N_plots_current,N_sample_per_plot_current,N_measured_current,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_g_kg_current,sd_SOC_gkg_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,N_plots_previous,N_sample_per_plot_previous,N_measured_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_g_kg_previous,sd_SOC_gkg_previous,SOC_Mg_ha_previous,sd_SOC_Mgha_previous,yearPpub,Original_source
11,1,3,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Granite,Ferralsols,Oxisols,LUC,Sugarcane,grass,7,bioenergy,YES,annual_crop,7,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,20,60,40,1.45,31.3,5.4,63.3,NA,NA,NA,62.16,NA,20,1,20,20,60,40,1.51,32.1,7,60.9,NA,NA,NA,65.19,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
12,1,3,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Granite,Ferralsols,Oxisols,LUC,Sugarcane,grass,7,bioenergy,YES,annual_crop,7,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,60,100,80,1.31,55.6,3.9,40.5,NA,NA,NA,38.09,NA,20,1,20,60,100,80,1.32,53.1,5.3,41.6,NA,NA,NA,43.57,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
13,1,4,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,grass,8,bioenergy,YES,grassland,8,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,0,10,5,1.34,12.1,8.4,79.5,NA,NA,NA,9.14,NA,20,1,20,0,10,5,1.34,10.5,6.2,83.3,NA,NA,NA,16.94,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
14,1,4,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,grass,8,bioenergy,YES,grassland,8,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,10,20,15,1.43,14.2,8.7,77.1,NA,NA,NA,7.88,NA,20,1,20,10,20,15,1.4,10.9,7.8,81.3,NA,NA,NA,13.35,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
15,1,4,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,grass,8,bioenergy,YES,grassland,8,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,20,60,40,1.43,12.8,7.9,79.3,NA,NA,NA,42.86,NA,20,1,20,20,60,40,1.45,13.1,6.6,80.3,NA,NA,NA,45.52,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
16,1,4,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,grass,8,bioenergy,YES,grassland,8,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,60,100,80,1.39,17.9,9.7,72.4,NA,NA,NA,24.38,NA,20,1,20,60,100,80,1.33,16.3,9.3,74.4,NA,NA,NA,24.66,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
17,2,5,Canada,Meadow_Lake,1.2,344,Boreal,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,NA,LUC,Poplar,woody,7,SRC,YES,annual_crop,7,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,NO,NA,1,2010,1,5,5,0,10,5,NA,NA,NA,NA,4.3,13.3,NA,NA,NA,1,5,5,0,10,5,NA,NA,NA,NA,NA,16,NA,NA,NA,2014,"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp. 5-11."
18,2,6,Canada,Meadow_Lake,1.2,344,Boreal,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,NA,LUC,Poplar,woody,14,SRC,YES,annual_crop,14,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,NO,NA,1,2010,1,5,5,0,10,5,NA,NA,NA,NA,4.56,15,NA,NA,NA,1,5,5,0,10,5,NA,NA,NA,NA,NA,16,NA,NA,NA,2014,"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp. 5-11."
19,2,5,Canada,Meadow_Lake,1.2,344,Boreal,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,NA,LUC,Poplar,woody,7,SRC,YES,natural_forest,7,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,NO,NA,1,2010,1,5,5,0,10,5,NA,NA,NA,NA,4.3,13.3,NA,NA,NA,1,5,5,0,10,5,NA,NA,NA,NA,NA,5.9,NA,NA,NA,2014,"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp. 5-11."
20,2,6,Canada,Meadow_Lake,1.2,344,Boreal,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,NA,LUC,Poplar,woody,14,SRC,YES,natural_forest,14,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,NO,NA,1,2010,1,5,5,0,10,5,NA,NA,NA,NA,4.56,15,NA,NA,NA,1,5,5,0,10,5,NA,NA,NA,NA,NA,5.9,NA,NA,NA,2014,"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp. 5-11."
