ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,temperature,precipitation_mm,Latitud,Longitud,year_measure,TYPE_CHANGE,years_since_luc,CROP_current,CROP_type,land_use,N_measured,soil_from_cm,soil_to_cm,depth_midpoint,bulk_density_Mg_m3,%clay,%silt,%sand,ph,SOC_Mg_ha,Period,delta_SOC_Mgha,%delta_SOC,csp_rank,csp_change,luc_rank
228,16,50,Venezuela,Orinoco,Tropical,Sediments_Pleistocene,,26.2,1050.0,9.766,-63.466,2000.0,LUC,17.5,Brachiaria,grass,perennial_grass,50.0,0.0,20.0,10.0,,72.0,12.0,16.0,,229.2,1,0.3499999999999943,0.15293860607384502,2.0,-3.0,1.0
282,20,64,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,0.99,3.6,20.7,75.7,6.16,75.12,1,-20.539999999999992,-21.47187957348943,2.0,1.0,4.0
283,20,65,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.03,4.6,21.9,73.5,5.98,74.54,1,-7.3999999999999915,-9.030998291432745,2.0,1.0,4.0
284,20,66,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,0.98,4.7,24.7,70.6,6.89,78.93,1,9.66000000000001,13.945430922477279,2.0,1.0,4.0
285,20,67,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.04,12.2,34.8,53.0,6.39,74.73,1,5.670000000000002,8.210251954821896,2.0,1.0,4.0
286,20,68,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,0.91,11.6,29.9,58.6,6.44,58.9,1,13.530000000000001,29.821467930350455,2.0,1.0,4.0
287,20,69,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.17,11.5,31.0,57.5,6.29,51.26,1,9.559999999999995,22.92565947242205,2.0,1.0,4.0
288,20,70,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.11,6.7,26.2,67.2,6.62,59.76,1,15.399999999999999,34.715960324616766,2.0,1.0,4.0
289,20,71,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.12,4.0,18.2,77.8,5.95,42.91,1,6.229999999999997,16.984732824427475,2.0,1.0,4.0
290,20,72,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.01,7.1,29.7,63.2,6.37,83.1,1,1.309999999999988,1.6016627949626945,2.0,-1.0,2.0
291,20,73,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.24,6.8,25.8,67.3,6.02,67.9,1,-4.219999999999999,-5.851358846367164,2.0,-1.0,2.0
292,20,74,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,0.96,4.1,18.5,77.4,5.32,74.07,1,0.19999999999998863,0.27074590496817197,2.0,-1.0,2.0
293,20,75,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.1,3.6,14.9,81.5,5.6,84.92,1,3.4200000000000017,4.19631901840491,2.0,-1.0,2.0
294,20,76,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.09,4.7,17.0,78.3,6.17,61.4,1,2.460000000000001,4.173736002714627,2.0,-1.0,2.0
295,20,77,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.08,8.1,27.3,64.7,5.62,107.77,1,-8.39,-7.22279614325069,2.0,-1.0,2.0
