Unnamed: 0,ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,TYPE_CHANGE,CROP_current,CROP_type,current_land_use*,LUC_this_study,previous_land_use*,NUM_DEPTH,N_measured_current.1,temperature_Celsiul,precipitation_mm,Latitud,Longitud,years_since_luc,year_measure,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_Mg_ha_previous,SOC_change,SOC_percentage_change,csp_change,luc_rank
13,93,6,23,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,LUC,Willow,woody,SRC,YES,annual_crop,5,3,9.1,714.0,48.75,8.92,11.0,2013.0,10.0,20.0,15.0,1.356666666666667,22.8,74.8,2.4,7.38,15.766666666666667,0.5,10.0,20.0,15.0,1.55,22.8,74.8,2.4,7.38,14.933333333333332,-0.8333333333333357,5.580357142857159,2.0,5.0
14,106,7,24,Cameroon,Zoatoupsie,Tropical,,,LUC,Cocoa,woody,food,YES,secondary_forest,6,9,24.0,1633.0,3.85,11.449999999999998,35.0,2011.0,13.333333333333334,20.0,16.666666666666668,,,,,,11.5,,13.333333333333334,20.0,16.666666666666668,,,,,,38.56666666666667,27.06666666666667,-70.18150388936905,-2.0,1.0
24,170,10,34,Sri_Lanka,Jaffna,Tropical,,,LUC,Banana,palm,food,YES,annual_crop,1,18,28.0,1000.0,7.8731,80.77,15.0,2003.0,0.0,30.0,15.0,1.71,,,,8.21,8.11,,0.0,30.0,15.0,1.82,,,,,6.64,-1.4699999999999998,22.13855421686747,1.0,4.0
25,171,10,35,Sri_Lanka,Jaffna,Tropical,,,LUC,Banana,palm,food,YES,secondary_forest,1,18,28.0,1000.0,7.8731,80.77,15.0,2003.0,0.0,30.0,15.0,1.71,,,,8.21,8.11,,0.0,30.0,15.0,1.73,,,,,19.74,11.63,-58.91590678824722,-2.0,1.0
26,172,11,36,India,Madurai,Tropical,,,LUC,Jatropha,woody,bioenergy,YES,secondary_forest,2,5,29.0,812.0,9.9252,78.119,4.0,2009.0,7.5,22.5,15.0,,,,,,12.2,1.85,7.5,22.5,15.0,,,,,,12.5,0.3000000000000007,-2.4000000000000057,-2.0,1.0
27,174,11,37,Brazil,Belo_Horizonte,Tropical,,,LUC,Jatropha,woody,bioenergy,YES,secondary_forest,2,5,24.0,842.0,-15.1716,-43.8718,2.0,2009.0,7.5,22.5,15.0,,,,,,16.6,2.705,7.5,22.5,15.0,,,,,,33.9,17.299999999999997,-51.03244837758112,-2.0,1.0
29,228,16,50,Venezuela,Orinoco,Tropical,Sediments_Pleistocene,,LUC,Brachiaria,grass,livestockfood,YES,natural_forest,1,50,26.2,1050.0,9.766,-63.466,17.5,2000.0,0.0,20.0,10.0,,72.0,12.0,16.0,,229.2,31.1,0.0,20.0,10.0,,85.0,11.0,4.0,,228.85,-0.3500000000000227,0.1529386060738574,-3.0,1.0
30,282,20,64,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.99,3.6,20.7,75.7,6.16,75.12,,0.0,30.0,15.0,,,,,,95.66,20.539999999999992,-21.47187957348943,1.0,4.0
31,283,20,65,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.03,4.6,21.9,73.5,5.98,74.54,,0.0,30.0,15.0,,,,,,81.94,7.399999999999991,-9.030998291432743,1.0,4.0
32,284,20,66,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.98,4.7,24.7,70.6,6.89,78.93,,0.0,30.0,15.0,,,,,,69.27,-9.66000000000001,13.94543092247728,1.0,4.0
